Input Start Date,Input End Date,Start Date,End Date,Model Result,Buy/Hold Result,Delta,Model Sharpe,Buy/Hold Sharpe
2022-12-01 00:00:00,2023-12-01 00:00:00,2022-12-02 00:00:00,2023-11-30 00:00:00,7.77,13.93,-6.16,0.818101,1.019228
2002-10-26 00:00:00,2003-10-26 00:00:00,2002-10-29 00:00:00,2003-10-24 00:00:00,-18.27,18.88,-37.15,-1.496182,1.043294
2011-08-06 00:00:00,2012-08-05 00:00:00,2011-08-09 00:00:00,2012-08-03 00:00:00,10.65,21.14,-10.49,0.867099,1.019104
2007-03-28 00:00:00,2008-03-27 00:00:00,2007-03-29 00:00:00,2008-03-26 00:00:00,-6.93,-4.35,-2.58,-0.465502,-0.151746
2003-09-18 00:00:00,2004-09-17 00:00:00,2003-09-19 00:00:00,2004-09-16 00:00:00,-6.24,10.44,-16.68,-1.156556,0.933427
2015-09-08 00:00:00,2016-09-07 00:00:00,2015-09-09 00:00:00,2016-09-06 00:00:00,19.89,14.88,5.01,2.31906,1.036266
2005-06-20 00:00:00,2006-06-20 00:00:00,2005-06-21 00:00:00,2006-06-19 00:00:00,1.26,3.65,-2.39,0.328125,0.393949
2018-09-09 00:00:00,2019-09-09 00:00:00,2018-09-11 00:00:00,2019-09-06 00:00:00,-9.03,5.15,-14.18,-0.773945,0.387711
2014-04-01 00:00:00,2015-04-01 00:00:00,2014-04-02 00:00:00,2015-03-31 00:00:00,3.75,11.43,-7.68,0.459853,0.980486
2012-09-06 00:00:00,2013-09-06 00:00:00,2012-09-07 00:00:00,2013-09-05 00:00:00,9.53,17.56,-8.03,2.100353,1.462626
2004-10-01 00:00:00,2005-10-01 00:00:00,2004-10-04 00:00:00,2005-09-30 00:00:00,2.42,10.25,-7.83,0.786115,1.020593
2022-12-19 00:00:00,2023-12-19 00:00:00,2022-12-20 00:00:00,2023-12-18 00:00:00,14.35,25.91,-11.56,1.491084,1.815595
2022-05-21 00:00:00,2023-05-21 00:00:00,2022-05-24 00:00:00,2023-05-19 00:00:00,14.38,8.08,6.3,0.936504,0.477003
2021-06-19 00:00:00,2022-06-19 00:00:00,2021-06-22 00:00:00,2022-06-17 00:00:00,0.4,-12.3,12.7,0.103721,-0.584861
2017-11-24 00:00:00,2018-11-24 00:00:00,2017-11-27 00:00:00,2018-11-23 00:00:00,-3.26,3.01,-6.27,-0.276335,0.276273
2004-09-27 00:00:00,2005-09-27 00:00:00,2004-09-28 00:00:00,2005-09-26 00:00:00,2.42,11.45,-9.03,0.786115,1.116668
2004-08-09 00:00:00,2005-08-09 00:00:00,2004-08-10 00:00:00,2005-08-08 00:00:00,4.86,15.43,-10.57,1.432462,1.462121
2014-09-14 00:00:00,2015-09-14 00:00:00,2014-09-16 00:00:00,2015-09-11 00:00:00,7.62,0.06,7.56,0.692155,0.079001
2012-11-03 00:00:00,2013-11-03 00:00:00,2012-11-06 00:00:00,2013-11-01 00:00:00,13.47,25.96,-12.49,2.488976,2.052136
2004-01-09 00:00:00,2005-01-08 00:00:00,2004-01-12 00:00:00,2005-01-07 00:00:00,5.11,6.61,-1.5,1.188574,0.632905
2009-04-04 00:00:00,2010-04-04 00:00:00,2009-04-07 00:00:00,2010-04-01 00:00:00,9.99,47.17,-37.18,1.017477,2.226407
2021-05-06 00:00:00,2022-05-06 00:00:00,2021-05-07 00:00:00,2022-05-05 00:00:00,11.66,-0.68,12.34,0.927416,0.044423
2006-05-07 00:00:00,2007-05-07 00:00:00,2006-05-09 00:00:00,2007-05-04 00:00:00,5.56,15.9,-10.34,1.489376,1.44047
2003-05-19 00:00:00,2004-05-18 00:00:00,2003-05-20 00:00:00,2004-05-17 00:00:00,-15.54,19.86,-35.4,-2.266868,1.516049
2010-08-07 00:00:00,2011-08-07 00:00:00,2010-08-10 00:00:00,2011-08-05 00:00:00,21.45,9.0,12.45,2.677754,0.674345
2014-01-24 00:00:00,2015-01-24 00:00:00,2014-01-27 00:00:00,2015-01-23 00:00:00,8.96,17.4,-8.44,1.136141,1.461847
2007-05-02 00:00:00,2008-05-01 00:00:00,2007-05-03 00:00:00,2008-04-30 00:00:00,-1.53,-6.25,4.72,-0.038717,-0.247192
2003-01-11 00:00:00,2004-01-11 00:00:00,2003-01-14 00:00:00,2004-01-09 00:00:00,-7.8,22.39,-30.19,-0.705479,1.346387
2002-04-16 00:00:00,2003-04-16 00:00:00,2002-04-17 00:00:00,2003-04-15 00:00:00,0.4,-19.17,19.57,0.111247,-0.63995
2013-08-25 00:00:00,2014-08-25 00:00:00,2013-08-27 00:00:00,2014-08-22 00:00:00,5.49,24.35,-18.86,1.260515,2.220859
2014-10-22 00:00:00,2015-10-22 00:00:00,2014-10-23 00:00:00,2015-10-21 00:00:00,8.6,5.64,2.96,0.778105,0.446661
2013-08-01 00:00:00,2014-08-01 00:00:00,2013-08-02 00:00:00,2014-07-31 00:00:00,6.82,15.17,-8.35,1.872505,1.429407
2002-06-08 00:00:00,2003-06-08 00:00:00,2002-06-11 00:00:00,2003-06-06 00:00:00,-3.58,-0.99,-2.59,-0.194273,0.097585
2022-01-07 00:00:00,2023-01-07 00:00:00,2022-01-10 00:00:00,2023-01-06 00:00:00,9.15,-15.28,24.43,0.55695,-0.565535
2010-03-19 00:00:00,2011-03-19 00:00:00,2010-03-22 00:00:00,2011-03-18 00:00:00,0.28,11.76,-11.48,0.077563,0.719991
2009-05-16 00:00:00,2010-05-16 00:00:00,2009-05-19 00:00:00,2010-05-14 00:00:00,9.74,27.5,-17.76,1.308398,1.485416
2008-07-07 00:00:00,2009-07-07 00:00:00,2008-07-08 00:00:00,2009-07-06 00:00:00,-55.29,-27.52,-27.77,-2.596788,-0.480693
2020-10-04 00:00:00,2021-10-04 00:00:00,2020-10-06 00:00:00,2021-10-01 00:00:00,9.8,31.48,-21.68,1.003233,2.116954
2020-11-04 00:00:00,2021-11-04 00:00:00,2020-11-05 00:00:00,2021-11-03 00:00:00,13.41,34.56,-21.15,1.445536,2.50126
2019-09-28 00:00:00,2020-09-27 00:00:00,2019-10-01 00:00:00,2020-09-25 00:00:00,-25.56,14.27,-39.83,-1.131291,0.575792
2011-04-02 00:00:00,2012-04-01 00:00:00,2011-04-05 00:00:00,2012-03-30 00:00:00,1.34,7.9,-6.56,0.166437,0.452149
2018-10-13 00:00:00,2019-10-13 00:00:00,2018-10-16 00:00:00,2019-10-11 00:00:00,-4.32,7.76,-12.08,-0.331227,0.543157
2005-08-09 00:00:00,2006-08-09 00:00:00,2005-08-10 00:00:00,2006-08-08 00:00:00,1.59,5.18,-3.59,0.432009,0.516979
2015-12-15 00:00:00,2016-12-14 00:00:00,2015-12-16 00:00:00,2016-12-13 00:00:00,11.55,11.84,-0.29,1.757123,0.905304
2021-05-12 00:00:00,2022-05-12 00:00:00,2021-05-13 00:00:00,2022-05-11 00:00:00,8.72,-3.01,11.73,0.709748,-0.093773
2016-07-27 00:00:00,2017-07-27 00:00:00,2016-07-28 00:00:00,2017-07-26 00:00:00,5.32,16.46,-11.14,1.284391,1.945267
2014-10-18 00:00:00,2015-10-18 00:00:00,2014-10-21 00:00:00,2015-10-16 00:00:00,11.67,6.86,4.81,1.150296,0.524136
2005-04-13 00:00:00,2006-04-13 00:00:00,2005-04-14 00:00:00,2006-04-12 00:00:00,-1.08,13.29,-14.37,-0.296375,1.300345
2000-04-23 00:00:00,2001-04-23 00:00:00,2000-04-25 00:00:00,2001-04-20 00:00:00,-14.56,-15.07,0.51,-0.848851,-0.603356
2024-01-10 00:00:00,2025-01-09 00:00:00,2024-01-11 00:00:00,2025-01-08 00:00:00,19.53,25.34,-5.81,2.519626,1.873353
2018-04-05 00:00:00,2019-04-05 00:00:00,2018-04-06 00:00:00,2019-04-04 00:00:00,-10.83,12.72,-23.55,-1.128414,0.873417
2018-05-23 00:00:00,2019-05-23 00:00:00,2018-05-24 00:00:00,2019-05-22 00:00:00,-12.99,6.73,-19.72,-1.3699,0.509318
2003-11-11 00:00:00,2004-11-10 00:00:00,2003-11-12 00:00:00,2004-11-09 00:00:00,3.48,11.7,-8.22,0.812361,1.035424
2013-04-22 00:00:00,2014-04-22 00:00:00,2013-04-23 00:00:00,2014-04-21 00:00:00,8.95,20.93,-11.98,2.435136,1.753153
2014-11-09 00:00:00,2015-11-09 00:00:00,2014-11-11 00:00:00,2015-11-06 00:00:00,2.28,4.95,-2.67,0.266128,0.401103
2014-03-28 00:00:00,2015-03-28 00:00:00,2014-03-31 00:00:00,2015-03-27 00:00:00,0.14,12.17,-12.03,0.060109,1.042599
2001-12-17 00:00:00,2002-12-17 00:00:00,2001-12-18 00:00:00,2002-12-16 00:00:00,-13.6,-19.15,5.55,-1.146569,-0.678612
2020-05-14 00:00:00,2021-05-14 00:00:00,2020-05-15 00:00:00,2021-05-13 00:00:00,3.46,45.61,-42.15,0.334859,2.271316
2013-09-23 00:00:00,2014-09-23 00:00:00,2013-09-24 00:00:00,2014-09-22 00:00:00,6.36,19.76,-13.4,1.504859,1.858195
2012-03-02 00:00:00,2013-03-02 00:00:00,2012-03-05 00:00:00,2013-03-01 00:00:00,10.46,13.7,-3.24,1.859727,1.058566
2001-05-19 00:00:00,2002-05-19 00:00:00,2001-05-22 00:00:00,2002-05-17 00:00:00,10.87,-14.56,25.43,1.319091,-0.734011
2010-04-20 00:00:00,2011-04-20 00:00:00,2010-04-21 00:00:00,2011-04-19 00:00:00,0.69,10.99,-10.3,0.117925,0.679891
