Input Start Date,Input End Date,Start Date,End Date,Model Result,Buy/Hold Result,Delta,Model Sharpe,Buy/Hold Sharpe
2025-05-30 00:00:00,2025-06-29 00:00:00,2025-05-30 14:00:00+00:00,2025-06-27 19:30:00+00:00,2.02,4.28,-2.26,0.046799,0.082315
2025-05-25 21:21:45,2025-06-24 21:21:45,2025-05-27 14:00:00+00:00,2025-06-24 19:30:00+00:00,2.39,3.21,-0.82,0.053105,0.059994
2025-06-02 12:04:00,2025-07-02 12:04:00,2025-06-02 14:00:00+00:00,2025-06-30 19:30:00+00:00,2.48,4.98,-2.5,0.057873,0.099364
2025-05-18 20:15:00,2025-06-17 20:15:00,2025-05-19 14:00:00+00:00,2025-06-17 19:30:00+00:00,1.42,0.9,0.52,0.027009,0.015071
