Input Start Date,Input End Date,Start Date,End Date,Model Result,Buy/Hold Result,Delta,Model Sharpe,Buy/Hold Sharpe,SPY Buy/Hold Result,SPY Sharpe,SPY Delta
2018-01-30 00:00:00,2019-01-30 00:00:00,2018-01-31 00:00:00,2019-01-29 00:00:00,24.27,-46.31,70.58,1.080099,-0.926569,-4.78,-0.192946,29.05
2010-06-25 00:00:00,2011-06-25 00:00:00,2010-06-28 00:00:00,2011-06-24 00:00:00,-28.67,41.8,-70.47,-1.233004,0.944562,20.3,1.370002,-48.97
2018-05-01 00:00:00,2019-05-01 00:00:00,2018-05-02 00:00:00,2019-04-30 00:00:00,26.25,-19.77,46.02,1.237819,-0.184619,13.88,0.958812,12.37
2010-03-04 00:00:00,2011-03-04 00:00:00,2010-03-05 00:00:00,2011-03-03 00:00:00,-23.47,21.55,-45.02,-1.028305,0.636096,19.12,1.100417,-42.59
2023-08-12 00:00:00,2024-08-11 00:00:00,2023-08-15 00:00:00,2024-08-09 00:00:00,34.08,138.46,-104.38,1.607883,2.022034,22.03,1.697974,12.05
2024-05-18 00:00:00,2025-05-18 00:00:00,2024-05-21 00:00:00,2025-05-16 00:00:00,-0.04,42.0,-42.04,0.083088,0.894328,13.25,0.722435,-13.29
2008-09-16 00:00:00,2009-09-16 00:00:00,2008-09-17 00:00:00,2009-09-15 00:00:00,6.91,63.8,-56.89,0.38412,1.025661,-6.89,0.063112,13.8
2003-06-11 00:00:00,2004-06-10 00:00:00,2003-06-12 00:00:00,2004-06-09 00:00:00,-20.52,-17.45,-3.07,-0.390259,-0.109855,14.88,1.190893,-35.4
2017-06-06 00:00:00,2018-06-06 00:00:00,2017-06-07 00:00:00,2018-06-05 00:00:00,27.05,78.26,-51.21,1.675471,1.706295,15.06,1.198666,11.99
2011-02-25 00:00:00,2012-02-25 00:00:00,2011-02-28 00:00:00,2012-02-24 00:00:00,3.84,-30.32,34.16,0.274052,-0.481296,5.0,0.328849,-1.16
2019-10-03 00:00:00,2020-10-02 00:00:00,2019-10-04 00:00:00,2020-10-01 00:00:00,-51.27,199.9,-251.17,-2.034795,2.243296,16.72,0.639969,-67.99
2007-07-11 00:00:00,2008-07-10 00:00:00,2007-07-12 00:00:00,2008-07-09 00:00:00,22.44,-61.58,84.02,0.782494,-1.094492,-17.54,-0.88111,39.98
2021-04-04 00:00:00,2022-04-04 00:00:00,2021-04-06 00:00:00,2022-04-01 00:00:00,-14.83,92.84,-107.67,-0.76879,1.564979,12.99,0.897976,-27.82
2023-12-26 00:00:00,2024-12-25 00:00:00,2023-12-27 00:00:00,2024-12-24 00:00:00,39.49,183.83,-144.34,1.802451,2.263415,27.81,2.041585,11.68
2006-05-03 00:00:00,2007-05-03 00:00:00,2006-05-04 00:00:00,2007-05-02 00:00:00,11.14,6.45,4.69,0.662467,0.371407,15.94,1.438673,-4.8
2001-08-11 00:00:00,2002-08-11 00:00:00,2001-08-14 00:00:00,2002-08-09 00:00:00,60.83,-78.57,139.4,1.043791,-1.317624,-22.42,-0.963343,83.25
2007-09-23 00:00:00,2008-09-22 00:00:00,2007-09-25 00:00:00,2008-09-19 00:00:00,34.65,-68.15,102.8,1.038145,-1.327249,-16.27,-0.716446,50.92
2011-01-11 00:00:00,2012-01-11 00:00:00,2011-01-12 00:00:00,2012-01-10 00:00:00,-7.58,-37.99,30.41,-0.129268,-0.632459,2.53,0.224801,-10.11
2012-06-26 00:00:00,2013-06-26 00:00:00,2012-06-27 00:00:00,2013-06-25 00:00:00,14.76,10.14,4.62,2.095818,0.492441,21.73,1.67594,-6.97
2017-10-23 00:00:00,2018-10-23 00:00:00,2017-10-24 00:00:00,2018-10-22 00:00:00,8.16,16.67,-8.51,0.645102,0.604871,9.15,0.723095,-0.99
2014-10-06 00:00:00,2015-10-06 00:00:00,2014-10-07 00:00:00,2015-10-05 00:00:00,-2.78,44.19,-46.97,-0.201395,1.29657,4.77,0.382846,-7.55
2013-12-01 00:00:00,2014-12-01 00:00:00,2013-12-03 00:00:00,2014-11-28 00:00:00,-3.38,35.61,-38.99,-0.683783,1.362893,17.51,1.576563,-20.89
2023-10-17 00:00:00,2024-10-16 00:00:00,2023-10-18 00:00:00,2024-10-15 00:00:00,15.53,211.97,-196.44,1.415374,2.475151,36.59,2.610755,-21.06
2004-07-20 00:00:00,2005-07-20 00:00:00,2004-07-21 00:00:00,2005-07-19 00:00:00,-8.86,80.69,-89.55,-0.437641,1.340321,14.51,1.350063,-23.37
2016-12-26 00:00:00,2017-12-26 00:00:00,2016-12-28 00:00:00,2017-12-22 00:00:00,18.94,79.43,-60.49,1.452157,1.653235,21.53,2.951047,-2.59
2021-02-14 00:00:00,2022-02-14 00:00:00,2021-02-17 00:00:00,2022-02-11 00:00:00,2.63,60.81,-58.18,0.262344,1.249535,13.75,1.010604,-11.12
